#OTU ID	LauraG1C1S15	LauraG1C2S19	LauraG1C3S23	LauraG1T2S7	LauraG1T3S11	LauraG2C1S16	LauraG2C2S20	LauraG2C3S24	LauraG2T3S12	LauraP1C1S13	LauraP1C2S17	LauraP1C3S21	LauraP1T1S1	LauraP1T2S5	LauraP1T3S9	LauraP2C1S14	LauraP2C2S18	LauraP2C3S22	LauraP2T2S6	LauraP2T3S10
OTU_152	39	11	3	0	0	2	5	0	1	5	1	11	3	37	4	13	1	26	8	39
OTU_91	18	1	3	10	11	1	1	0	54	13	0	1	0	4	40	3	2	6	0	36
OTU_239	58	0	0	37	9	2	0	1	34	3	0	0	3	4	43	1	0	1	0	6
OTU_69	0	39	4	13	5	1	3	10	0	74	2	6	0	9	0	12	0	8	15	0
OTU_54	13	0	0	0	5	2	125	0	0	0	0	22	0	0	0	0	1	2	0	30
OTU_46	0	0	2	0	5	21	0	4	0	0	0	0	0	0	164	1	0	0	0	0
OTU_149	0	35	0	27	3	1	0	1	0	31	0	0	0	6	25	3	0	42	22	0
OTU_41	0	0	0	0	0	0	0	0	172	22	0	0	0	0	0	2	0	0	0	0
OTU_160	11	7	1	24	8	1	4	4	2	14	2	8	0	11	34	21	7	12	6	15
OTU_40	0	0	0	0	10	1	0	0	0	0	0	0	0	0	175	0	0	0	0	0
OTU_39	0	0	0	0	0	0	0	0	170	10	0	0	0	0	0	4	0	0	0	0
OTU_174	38	8	2	19	5	5	9	2	20	3	0	1	0	5	46	10	0	7	1	2
OTU_296	3	8	6	64	2	1	0	5	0	12	0	8	17	10	13	3	2	12	16	1
OTU_388	2	11	1	18	9	3	3	7	3	1	3	13	8	25	12	8	4	20	30	1
OTU_45	0	0	0	0	0	0	0	0	157	24	0	0	0	0	0	1	0	0	0	0
OTU_108	29	1	1	18	2	1	4	0	7	8	0	0	0	21	30	0	0	2	0	55
OTU_197	1	0	0	44	0	1	1	1	0	23	2	4	40	38	2	1	0	4	12	0
OTU_49	0	0	0	0	0	0	0	0	138	25	0	0	0	0	0	11	0	0	0	0
OTU_300	15	31	4	0	0	14	1	7	1	10	0	3	3	24	0	14	25	9	9	0
OTU_52	0	0	0	0	0	0	0	0	149	16	0	0	0	0	0	2	0	0	0	0
OTU_212	1	3	0	21	18	6	0	0	0	25	0	6	1	17	30	6	2	15	8	4
OTU_93	3	5	3	88	0	0	0	21	0	9	1	2	2	2	0	9	0	1	14	0
OTU_101	6	4	0	9	1	13	0	0	0	44	5	7	7	5	0	3	0	2	52	0
OTU_140	0	30	0	1	6	0	42	0	0	3	1	8	2	19	0	4	23	0	18	0
OTU_38	3	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_251	20	0	27	36	1	0	0	17	0	6	0	1	9	5	6	8	0	12	4	0
OTU_413	1	8	3	7	14	0	0	6	0	18	8	7	4	32	1	16	0	17	7	2
OTU_141	1	18	1	4	15	0	0	3	0	39	3	7	0	6	28	0	13	3	8	1
OTU_118	0	1	1	47	9	0	1	0	1	2	0	2	0	67	0	1	0	1	16	0
OTU_43	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
OTU_87	48	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
OTU_119	3	3	0	32	0	0	0	0	0	1	0	0	0	53	7	1	4	14	27	1
OTU_198	1	6	2	13	19	0	0	0	14	27	0	0	2	14	33	1	0	0	10	1
OTU_201	0	9	11	0	28	4	14	15	3	3	3	19	1	2	3	1	5	18	1	3
OTU_282	11	17	1	25	2	0	0	1	0	8	0	3	16	19	0	4	1	8	13	14
OTU_120	4	0	0	68	0	0	0	0	4	0	0	6	1	50	0	0	0	0	8	0
OTU_136	0	2	2	4	0	1	0	16	0	48	1	10	0	29	7	2	3	4	3	4
OTU_363	21	13	0	5	0	0	0	0	0	18	0	4	1	10	1	12	0	7	44	0
OTU_88	0	0	0	62	2	4	7	0	0	2	0	0	3	43	0	3	2	2	4	2
OTU_58	2	0	0	14	0	111	0	1	0	2	0	0	0	0	0	0	0	0	2	0
OTU_84	2	0	0	0	5	12	0	0	6	63	0	0	0	0	28	1	0	8	0	1
OTU_68	0	0	0	0	6	0	37	0	0	0	0	1	0	0	0	0	0	1	0	80
OTU_78	23	0	0	61	2	2	0	13	0	0	0	0	0	0	18	1	0	2	0	0
OTU_166	3	0	13	2	17	2	33	15	0	0	0	5	0	0	0	0	29	0	0	0
OTU_61	0	0	0	0	9	5	0	0	0	0	0	0	0	0	101	0	0	0	0	2
OTU_164	1	2	0	83	0	0	0	2	0	2	1	1	8	2	0	0	0	3	5	4
OTU_63	0	0	0	1	0	0	97	0	0	0	0	14	0	0	0	0	0	2	0	0
OTU_169	0	0	0	18	3	2	0	0	0	0	0	0	5	6	44	2	0	0	33	0
OTU_182	0	0	0	7	1	0	0	0	1	13	0	3	5	14	10	31	0	4	24	0
OTU_214	0	16	1	2	18	7	0	1	13	7	0	0	7	1	6	2	1	1	25	1
OTU_116	1	0	0	0	5	9	0	0	0	0	0	0	0	0	49	0	0	0	0	44
OTU_310	3	18	0	19	1	0	1	0	0	15	1	0	0	6	0	4	0	11	27	1
OTU_154	12	0	1	0	0	37	0	13	0	15	0	1	0	0	4	20	0	0	1	0
OTU_137	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	21	0	0	40	0
OTU_204	18	0	0	0	3	0	0	0	0	5	0	0	0	0	0	4	0	0	0	73
