"#OTU ID"	"LauraG1C1S15"	"LauraG1C2S19"	"LauraG1C3S23"	"LauraG1T2S7"	"LauraG1T3S11"	"LauraG2C1S16"	"LauraG2C2S20"	"LauraG2C3S24"	"LauraG2T3S12"	"LauraP1C1S13"	"LauraP1C3S21"	"LauraP1T3S9"	"LauraP2C1S14"	"LauraP2C2S18"	"LauraP2C3S22"	"LauraP2T2S6"
"OTU_1"	131727.004588771	24.4678541780099	6247.16137341003	61866.6975219954	98322.8591370556	24106.2847057711	566.263312384421	1535.69288224911	10057.1591607276	25227.4455287215	0.048010184360631	111.113737216388	19689.2546446485	1190.78156063676	1276.41728413033	666760.84970364
"OTU_5"	6408.95938920172	1.24855553640971	20.5456489156342	871.361936929512	358.157856353542	7.91667806429264	1.2107404583802	26.0748090150078	309.609825368732	335.797394529781	0.001368945600576	1.01227212769257	651.155459340029	12.3072618234443	23.3829591780229	169447.912311727
"OTU_2"	28725.8715480291	14.3044683240491	1131.29479341711	7088.64710853468	6122.79383004388	2683.75386379521	163.934258064679	311.990758301311	2002.14353738446	2947.55490753918	0.01880601154834	8.46934346836119	2590.56812241033	129.550124457308	558.560437365023	123470.798249027
"OTU_7"	143057.129223253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_3"	40628.2246994038	0.8243821583972	1228.88662576637	13659.1871194356	37146.0862446673	16118.3565388998	132.818228284308	206.331097423105	3606.95446554572	1481.77262982983	0.002320411337147	4.15031572353955	407.557733543759	856.758156410999	74.8254693696734	22525.0780589441
"OTU_8"	61342.8970109308	0.023964597627826	3.85230917168142	10927.3496955485	2404.77417837378	554.167464500485	0.12107404583802	0.22673746969572	11373.0009185447	874.139249252127	4.85441702331961E-05	62.3897054701189	318.550872195122	2.80691936324168	1.16914795890115	2502.78645099378
"OTU_4"	33647.036793309	4.87919207702529	1271.26202665487	9796.93420980209	306.992448303036	1923.75276962311	169.019367989876	252.358803771337	933.98963986234	2702.36950835871	0.004689366844527	0.067484808512838	721.424034088953	712.525684515195	146.143494862643	32721.6154518817
"OTU_13"	7896.75353312355	0.373847722994079	6.42051528613569	6040.6577519573	2148.94713812125	245.417019993072	3.39007328346457	14.9646729999175	46.4414738053097	788.85737127631	0.000398062195912	0.033742404256419	463.772593342898	12.9550124457308	14.9066364759896	20671.162169319
"OTU_36"	18769.0953540908	0.32831498750121	29.5343703162242	518.107097633764	3564.52342751858	815.417840622142	1.93718473340832	13.1507732423518	614.059486981318	578.317735023511	0.000194176680933	6.03989036189902	299.812585595409	44.6947929377714	27.7672640239022	8435.31729779387
"OTU_30"	0	0.09346193074852	1.28410305722714	82.4261291690079	170.551360168353	0	0.12107404583802	0.453474939391441	0	58.6312911083744	6.79618383264746E-05	0.269939234051353	145.221721147776	5.61383872648336	0	20856.5537582815
"OTU_6"	4234.49102500828	3.61865424180166	116.85337820767	1483.67032504214	4076.17750802364	403.750581278925	24.6991053509561	39.9057946664468	835.946528495575	309.146807662338	0.00109709824727	0.472393659589867	112.429719598278	11.8754280752533	5.26116581505516	8528.01309227512
"OTU_11"	5951.17657568731	1.46184045529736	88.6031109486726	682.95935597178	1722.56873770037	340.417156764584	11.3809603087739	49.8822433330585	92.8829476106195	429.074448565831	0.000611656544938	0.134969617025676	281.074298995696	13.6027630680174	12.8606275479126	7137.57617505635
"OTU_27"	1258.90273716462	0.014378758576695	0	2837.81387567584	0	7.91667806429264	0	3.17432457574008	0	231.860105746753	5.82530042798354E-05	0	56.2148597991392	0	1.16914795890115	11216.1911322314
"OTU_56"	228.891406757204	0.057515034306781	2.56820611445428	0	204.661632202024	15.8333561285853	0.12107404583802	0.453474939391441	5.16016375614553	226.529988373265	0.000951465736571	4.35277014907806	196.752009296987	0.431833748191028	32.7361428492321	11030.7995432689
"OTU_50"	572.228516893011	0.32831498750121	59.0687406324484	388.580323225323	204.661632202024	15.8333561285853	15.8607000047807	8.16254890904593	10.3203275122911	191.884225445589	0.000805833225871	0.539878468102705	121.798862898135	31.7397804920405	30.3978469314298	7786.44673642511
"OTU_26"	8583.42775339517	0	0	0	204.661632202024	31.6667122571706	0	0	0	0	0	0	0	0	0	0
